Timestamp,Temp,Rh,Co2,HumidityDeficity,VentLee,VentWind,LowerCircuit,GrowthCircuit,AssimilationLighting,EnergyCurtain,BlackOutCurtain,ClimateEnergyDemand,Co2ActuationRegulation,WaterSupply,Drain,DrainEc,DrainPh,HeatingTempViP,VentilationTempLeeSideViP,VentilationTempWindSideViP,LeeSideWindowPositionMin,NetPipeMin,CropPipeMin,EnergiedoekViPDoekstand,VerduisteringsdoekViPDoekstand,LightingViPOn,Co2ViP,HumidityDeficitViP,WaterSupplyIntervalTimeViP,IrrigationSupplyTimeViP,WriteToiSii,SpAllowFruits,SpAllowLeaves,SpHeatingTemp,SpVentTemp,SpLeeMinVent,SpNetPipeMinVent,SpCropPipeMinVent,SpEnergyScreen,SpBlackoutScreen,SpLightingOn,SpCo2,SpHumidityDeficit,SpIrrigationInterval,SpIrrigationSupply,ParCumulative,Par,CostLighting,CostCo2,ItemType,OutsideTemp,OutsideRh,Radiation,RadiationSum,WindSpeed,WindDirection,Rain,ParOut,HeatEmission,AbsoluteHumidity,Irrigation,LampHours,Co2Hours
8/26/2018 0:25,18.8,81.7,725,2.96,0,0,35.9,0,0,95,0,51.9,0,54,1.9,4.48,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.4,88,0,0,0,16,FALSE,0,-30,,3.096,0,0
8/26/2018 0:30,18.8,82,710,2.89,0,0,36.8,0,0,95,0,38.9,0,54,1.9,4.48,6.32,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.4,87.7,0,0,0,16,FALSE,1,-30,,3.096,0,0
8/26/2018 0:35,18.9,81.8,713,2.92,0,0,37.2,0,0,95,0,38.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.5,86.6,0,0,0.5,16,FALSE,0,-31,,3.096,0,0
8/26/2018 0:40,18.9,81.6,720,2.97,0,0,36.4,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.6,86.4,0,0,1,16,FALSE,0,-32,,3.096,0,0
8/26/2018 0:45,18.9,81.5,714,2.97,0,0,35.9,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.1,87.6,0,0,1,16,FALSE,0,-31,,3.096,0,0
8/26/2018 0:50,18.8,81.4,703,3.01,0,0,36.2,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.2,87.9,0,0,1,16,FALSE,0,-31,,3.096,0,0
8/26/2018 0:55,18.8,81.5,713,3.01,0,0,37.4,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,88.1,0,0,1,32,FALSE,1,-30,,3.096,0,0
8/26/2018 1:00,19,81.2,716,3.04,0,0,36.9,0,0,95,0,51.9,0,54,1.9,4.52,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11,87.2,0,0,1,32,FALSE,0,-30,,3.096,0,0
8/26/2018 1:05,18.8,81.2,701,3.02,0,0,36,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,87.6,0,0,0.8,32,FALSE,0,-29,,3.096,0,0
8/26/2018 1:15,18.8,81.1,692,3.04,0,0,36.2,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,87.4,0,0,0.3,32,FALSE,0,-28,,3.096,0,0
8/26/2018 1:20,18.7,81.2,712,3.02,0,0,37,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,87.1,0,0,0,32,FALSE,0,-29,8.645978,3.096,0,0
8/26/2018 1:25,18.8,81.2,723,3.06,0,0,37.8,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,86.6,0,0,0,32,FALSE,0,-29,,3.096,0,0
8/26/2018 1:30,18.8,81.1,699,3.05,0,0,37,0,0,95,0,51.9,0,54,1.9,4.52,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,85.4,0,0,0.8,32,FALSE,0,-28,,3.096,0,0
8/26/2018 1:35,18.8,80.8,690,3.09,0,0,36.1,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,85.3,0,0,0.6,32,FALSE,0,-28,,3.096,0,0
8/26/2018 1:40,18.8,80.7,698,3.1,0,0,35.3,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,85.8,0,0,0.1,32,FALSE,0,-28,,3.096,0,0
8/26/2018 1:45,18.8,80.8,701,3.09,0,0,36.6,0,0,95,0,51.9,0,54,1.9,4.52,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,85.9,0,0,0,32,FALSE,0,-28,,3.096,0,0
8/26/2018 1:50,18.8,80.9,677,3.05,0,0,37.9,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,85.6,0,0,0,32,FALSE,0,-29,,3.096,0,0
8/26/2018 1:55,18.8,80.4,665,3.15,0,0,37.4,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,85.4,0,0,0,32,FALSE,0,-29,,3.096,0,0
8/26/2018 2:00,18.8,80.4,666,3.15,0,0,36.4,0,0,95,0,51.9,0,54,1.9,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,85.5,0,0,0,32,FALSE,1,-29,,3.096,0,0
8/26/2018 2:05,18.8,80.6,677,3.1,0,0,37.1,0,0,95,0,51.9,0,0,0,4.5,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,84.9,0,0,0,32,FALSE,1,-30,,0,0,0
8/26/2018 2:10,18.8,80.4,665,3.15,0,0,37.8,0,0,95,0,51.9,0,0,0,4.52,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,86.2,0,0,0,32,FALSE,0,-30,,0,0,0
8/26/2018 2:15,18.7,80.3,672,3.15,0,0,38.9,0,0,95,0,51.9,0,0,0,4.52,6.31,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,86.6,0,0,0,32,FALSE,0,-30,,0,0,0
8/26/2018 2:20,18.8,80.2,657,3.18,0,0,38.5,0,0,95,0,51.9,0,0,0,4.5,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,84.9,0,0,0,32,FALSE,1,-29,,0,0,0
8/26/2018 2:25,18.8,79.8,662,3.25,0,0,37.8,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,84.5,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 2:30,18.8,80.4,673,3.15,0,0,36.6,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,84.4,0,0,0,32,FALSE,0,-30,,0,0,0
8/26/2018 2:35,18.6,80.2,683,3.18,0,0,37.4,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,84.7,0,0,0,32,FALSE,1,-30,,0,0,0
8/26/2018 2:40,18.7,80.2,675,3.16,0,0,37.9,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,84.5,0,0,0,32,FALSE,0,-30,,0,0,0
8/26/2018 2:45,18.8,80.1,688,3.2,0,0,38.1,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,86.1,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 2:50,18.7,80.1,695,3.2,0,0,38.2,0,0,95,0,51.9,0,0,0,4.5,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.1,86.8,0,0,0,16,FALSE,0,-29,,0,0,0
8/26/2018 2:55,18.8,80.1,693,3.16,0,0,38.2,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.2,87.1,0,0,0,16,FALSE,0,-28,,0,0,0
8/26/2018 3:00,18.8,79.7,684,3.24,0,0,38,0,0,95,0,51.9,0,0,0,4.52,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.1,87.3,0,0,0,16,FALSE,0,-28,,0,0,0
8/26/2018 3:05,18.8,79.7,675,3.24,0,0,38.8,0,0,95,0,51.9,0,0,0,4.5,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.8,88.1,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 3:10,18.8,79.4,680,3.31,0,0,39.8,0,0,95,0,51.9,0,0,0,4.5,6.29,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.8,88.9,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 3:15,19.1,79.3,677,3.35,0,0,40.5,0,0,95.6,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.6,89.4,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:20,19,79,675,3.41,0,0,40.5,0,0,96.1,0,51.9,0,0,0,4.52,6.29,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,89.7,0,0,0,32,FALSE,1,-29,,0,0,0
8/26/2018 3:25,19,78.7,663,3.48,0,0,39.1,0,0,96.1,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.4,89,0,0,0,32,FALSE,0,-27,,0,0,0
8/26/2018 3:30,19.1,78.5,681,3.52,0,0,38.1,0,0,96.1,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,89,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:35,19.1,78.8,666,3.47,0,0,37.8,0,0,96.1,0,51.9,0,0,0,4.52,6.29,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.4,89.4,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:40,19.1,79.2,660,3.4,0,0,39,0,0,96.1,0,51.9,0,0,0,4.54,6.3,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,89.3,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:45,19.1,78.9,681,3.45,0,0,40.1,0,0,95.5,0,51.9,0,0,0,4.52,6.29,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.2,89.5,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:50,19,79.5,666,3.35,0,0,40.1,0,0,96,0,51.9,0,0,0,4.54,6.29,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10,89.3,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 3:55,19.1,79.3,668,3.37,0,0,39.6,0,0,95.3,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.9,89.9,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:00,19,79.2,671,3.38,0,0,39.3,0,0,95.3,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10,90.6,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:05,19,79.6,660,3.32,0,0,38.9,0,0,95.8,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.2,91,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:10,19.1,79.3,648,3.39,0,0,38.7,0,0,95.8,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,90.6,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:15,19,79.2,666,3.4,0,0,38.6,0,0,95.8,0,51.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,89.7,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:20,19,79.4,661,3.35,0,0,38.5,0,0,95.8,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.8,90.7,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:25,19.1,79.3,678,3.41,0,0,38.5,0,0,95.8,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,9.8,91.1,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 4:30,19.1,79.4,661,3.35,0,0,38.4,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.1,91.1,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:35,19,80,676,3.21,0,0,38.2,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.2,91.3,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:40,18.9,80.1,655,3.22,0,0,38.1,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.4,90.6,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:45,18.8,80.4,678,3.15,0,0,37.9,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.4,90.5,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:50,18.8,80.7,650,3.1,0,0,38.8,0,0,95.2,0,64.9,0,0,0,4.52,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.3,90.4,0,0,0,32,FALSE,0,-28,,0,0,0
8/26/2018 4:55,18.9,80.6,660,3.12,0,0,39.6,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,90.5,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 5:00,18.9,80.5,662,3.15,0,0,40.3,0,0,95.2,0,51.9,0,0,0,4.54,6.28,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.1,90.7,0,0,0,32,FALSE,0,-29,,0,0,0
8/26/2018 5:05,18.9,80.4,657,3.17,0,0,40.9,0,0,95.2,0,51.9,0,0,0,4.52,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.4,90.8,0,0,0.5,32,FALSE,0,-28,,0,0,0
8/26/2018 5:10,18.9,80.1,667,3.22,0,0,40.6,0,0,95.2,0,51.9,0,0,0,4.54,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,90,0,0,1.5,32,FALSE,0,-29,,0,0,0
8/26/2018 5:15,19,80.1,660,3.23,0,0,40,0,0,95.2,0,51.9,0,0,0,4.54,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,90.3,0,0,1.5,32,FALSE,0,-30,,0,0,0
8/26/2018 5:20,19.1,80.2,669,3.22,0,0,39.7,0,0,95.2,0,51.9,0,0,0,4.54,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,90,0,0,1.5,32,FALSE,0,-29,,0,0,0
8/26/2018 5:25,19,80.4,667,3.17,0,0,39.5,0,0,95.2,0,51.9,0,0,0,4.52,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,90.4,0,0,2,32,FALSE,0,-28,,0,0,0
8/26/2018 5:30,19,80.7,689,3.12,0,0,39.4,0,0,95.2,0,51.9,0,0,0,4.54,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,90.7,0,0,2,32,FALSE,0,-29,,0,0,0
8/26/2018 5:35,18.9,81,675,3.07,0,0,39.2,0,0,95.2,0,51.9,0,0,0,4.54,6.26,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,90.7,0,0,2,32,FALSE,0,-30,,0,0,0
8/26/2018 5:40,19,81.2,667,3.04,0,0,39,0,0,95.2,0,51.9,0,0,0,4.54,6.26,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,91.4,0,0,2,32,FALSE,0,-29,,0,0,0
8/26/2018 5:45,18.9,81.1,642,3.07,0,0,38.9,0,0,95.2,0,51.9,0,0,0,4.52,6.26,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,91.3,0,0,2,32,FALSE,1,-28,,0,0,0
8/26/2018 5:50,19,81.6,659,2.99,0,0,40,0,0,95.2,0,51.9,0,0,0,4.54,6.26,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,91.5,0,0,2,32,FALSE,0,-28,,0,0,0
8/26/2018 5:55,18.9,81.9,648,2.93,0,0,41,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,91.7,0,0,2,32,FALSE,0,-28,,0,0,0
8/26/2018 6:00,19,81.8,656,2.94,0,0,42.5,0,0,95.2,0,64.9,0,0,0,4.54,6.27,19,20,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,92,0,0,2,32,FALSE,0,-28,,0,0,0
8/26/2018 6:05,19.2,81.5,656,3.01,0,0,42.1,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.1,20.1,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,92,0,0,1.9,32,FALSE,0,-28,,0,0,0
8/26/2018 6:15,19,81.8,666,2.98,0,0,41.9,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.2,20.2,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.7,91.2,0,0,1.7,32,FALSE,0,-28,,0,0,0
8/26/2018 6:20,19.1,82.2,648,2.91,0,0,41.8,0,0,95.2,0,64.9,0,0,0,4.54,6.25,19.2,20.2,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.5,91.7,0,0,1.2,32,FALSE,0,-27,,0,0,0
8/26/2018 6:25,19,82.2,659,2.91,0,0,41.5,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.3,20.3,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,91.7,0,0,0.7,32,FALSE,0,-28,,0,0,0
8/26/2018 6:30,19.1,82.3,656,2.91,0,0,41.3,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.3,20.3,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,91,0,0,0.2,32,FALSE,0,-28,,0,0,0
8/26/2018 6:35,19.3,82.4,672,2.9,0,0,42,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.3,20.3,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,91.2,0,0,0,32,FALSE,1,-28,,0,0,0
8/26/2018 6:40,19.2,82.4,654,2.91,0,0,42.3,0,0,95.2,0,64.9,0,0,0,4.54,6.25,19.4,20.4,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,91,0,0,0,32,FALSE,1,-28,,0,0,0
8/26/2018 6:45,19.3,82.6,659,2.88,0,0,42.7,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.4,20.4,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.6,91.2,1,0,0,32,FALSE,5,-28,,0,0,0
8/26/2018 6:50,19.3,82.8,645,2.85,0,0,42.9,0,0,95.2,0,64.9,0,0,0,4.54,6.26,19.5,20.5,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,91.8,4,0,0,16,FALSE,10,-28,,0,0,0
8/26/2018 6:55,19.4,82.9,657,2.85,0,0,41.8,0,0,95.2,0,51.9,0,0,0,4.54,6.26,19.5,20.5,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,91.6,10,0,0,16,FALSE,19,-28,,0,0,0
8/26/2018 7:00,19.4,82.9,694,2.85,0,0,40.8,0,0,95.2,0,64.9,1,0,0,4.54,6.27,19.5,20.5,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.8,91.4,18,0,0,16,FALSE,30,-27,,0,0,0.083333333
8/26/2018 7:05,19.7,82.6,785,2.93,0,0,39.9,0,0,95.2,0,51.9,0,0,0,4.54,6.26,19.6,20.6,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11,91.2,23,1,0,16,FALSE,37,-28,,0,0,0.083333333
8/26/2018 7:10,19.7,82.4,790,2.96,0,0,40.6,0,0,92.2,0,64.9,0,0,0,4.56,6.25,19.6,20.6,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,10.9,91.1,24,2,0,16,FALSE,43,-28,,0,0,0.083333333
8/26/2018 7:15,19.4,82.6,801,2.9,0,0,42.7,0,0,89.2,0,64.9,0,0,0,4.56,6.25,19.7,20.7,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.1,91.2,37,3,0,16,FALSE,66,-27,,0,0,0.083333333
8/26/2018 7:20,19.4,83,783,2.85,0,0,45.4,0,0,86.2,0,64.9,0,0,0,4.56,6.25,19.7,20.7,24,0,0,0,0,0,0,400,2.2,20,180,,,,,,,,,,,,,,,,,,,,4,11.3,91.1,51,4,0,16,FALSE,93,-25,,0,0,0.083333333
