name,cost,brand,color
Tech Spec Gaming Desk with Cup Holder Gunmetal,176,,
Paladin Game Rocking Chair Green,106.45,,
Monster - LED Gaming Optimized Soundbar Black,53.25,,
Monster - Alpha 9.0 RGB Corded Gaming Mouse,47,,
Monster - Alpha 5.0 LED Mechanical PC Gaming Keyboard,69.15,,
Monster - Alpha 7.1 RGB Corded Gaming Headset,66.21,,
Monster - Campaign Gaming Bundle Black - Keyboard Mouse Headset Mouse Pad,47,,
"Samsung - 24"" Odyssey CRG5 AMD FreeSync Curved Gaming Monitor 144Hz Refresh Rate",209.5,,
"Samsung - 32"" Odyssey G7 Curved Gaming Monitor",698,SAMSUNG,Black
"Samsung - 34"" G5 Odyssey WQHD Curved Gaming Monitor HDR10",456.5,SAMSUNG,Black
"Samsung - 49"" CRG9 Dual QHD Curved QLED Gaming Monitor",1089.5,SAMSUNG,Black
"Samsung - 24"" Odyssey G30A Gaming Monitor",191,SAMSUNG,Black
"Samsung - 27"" Odyssey G30A Gaming Monitor",211,SAMSUNG,Black
JBL Quantum 100 Wired Over-Ear Gaming Headset w/ Detachable Mic Black,23.59,,
JBL Quantum 100 Wired Over-Ear Gaming Headset w/ Detachable Mic White,23.59,,
JBL Quantum 200 Wired Over-Ear Gaming Headset w/ Flip-up Mic,35.39,,
JBL Quantum 300 Hybrid Wired Over-Ear Gaming Headset w/ Flip-up Mic,47.25,,
JBL Quantum 400 USB Over-Ear Gaming Headset w/ Game-Chat Balance Dial,53,,
JBL Quantum 100P Console Wired Gaming Headset for PlayStation White & Blue,25,,
JBL Quantum 100X Console Wired OverEar Gaming Headset for XBox,25,,
JBL Quantum 360P Console Wireless OverEar Gaming Heaset for PlayStaiton,78,,
JBL Quantum 360X Console Wireless OverEar Gaming Headset for XBox,78,,
JBL Quantum 910P Console Wireless OverEar Gaming Headset for PlayStation w/ ANC,177.5,,
JBL Quantum 910 Wireless OverEar Performance Gaming Headset w/ ANC,177.5,,
JBL Quantum 910X Console Wireless OverEar Gaming Headset for Xbox,177.5,,
JBL Quantum 610 Wireless OverEar Gaming Headset w/ JBL Quantum Sound,89.46,,
Microsoft Xbox Series S 512 GB All-Digital Console White,279,Xbox,White
